,Experiment number,M,N,Epsilon,Integrator,E1,E2,Training Loss
166,2.0,2.0,1000.0,0.01,2.0,2.5540543316964985e-05,0.0108953435630594,2.412249481067088e-06
167,2.0,2.0,1000.0,0.01,3.0,3.131772178567226e-05,0.0111736474822522,1.874734098643928e-06
168,2.0,2.0,1000.0,0.001,0.0,1.8196874050359453e-07,0.000880544867315,1.6393904993220435e-08
169,2.0,2.0,1000.0,0.001,1.0,4.597045747316151e-07,0.0016238927448616,1.781815745018438e-08
170,2.0,2.0,1000.0,0.001,2.0,1.0750323534617812e-05,0.0067753075319185,9.15040043482612e-07
171,2.0,2.0,1000.0,0.001,3.0,1.151440124497778e-05,0.0076870155951818,2.448498867439096e-07
172,2.0,2.0,1000.0,0.0,0.0,1.9501246566277664e-07,0.0001518199818718,7.502963757501829e-11
173,2.0,2.0,1000.0,0.0,1.0,1.991917500284643e-07,0.0001670428637,5.979947850728147e-11
174,2.0,2.0,1000.0,0.0,2.0,9.496273480796532e-06,0.0065554325064549,7.25242973634588e-07
175,2.0,2.0,1000.0,0.0,3.0,1.3814462144298895e-05,0.0085581921736172,2.231655038287222e-07
176,2.0,2.0,1500.0,0.1,0.0,0.0005238404190326,0.0317077626570331,0.0001922329627562
177,2.0,2.0,1500.0,0.1,1.0,0.0005038466397863,0.0230949340051601,0.0001605494553337
178,2.0,2.0,1500.0,0.1,2.0,0.0006137190159608,0.0406686091661324,0.0001591404700905
179,2.0,2.0,1500.0,0.1,3.0,0.0004092291445474,0.0296047688883934,0.0001550056130851
180,2.0,2.0,1500.0,0.01,0.0,6.857853376283552e-06,0.0035335969400742,1.710712403959908e-06
181,2.0,2.0,1500.0,0.01,1.0,1.3572004612297796e-05,0.0071638579618734,1.6325104570810464e-06
182,2.0,2.0,1500.0,0.01,2.0,4.631364411432041e-05,0.0154826902069778,2.4804229210789414e-06
183,2.0,2.0,1500.0,0.01,3.0,1.3275728991511288e-05,0.0078425748439031,1.8507170566377304e-06
184,2.0,2.0,1500.0,0.001,0.0,3.048565455864891e-07,0.0011568749072435,1.5910064887039374e-08
185,2.0,2.0,1500.0,0.001,1.0,1.1812583435603349e-07,0.0005906698275694,1.6616994831221357e-08
186,2.0,2.0,1500.0,0.001,2.0,2.7294869863620045e-05,0.0121956551622698,9.988008016635772e-07
187,2.0,2.0,1500.0,0.001,3.0,2.062221482311281e-05,0.0107854110511346,2.2652939742554402e-07
188,2.0,2.0,1500.0,0.0,0.0,4.133399945744752e-08,0.0001585942406024,7.930871426737487e-11
189,2.0,2.0,1500.0,0.0,1.0,2.5499100910594843e-08,0.0001192611858629,4.9452936481868556e-11
190,2.0,2.0,1500.0,0.0,2.0,2.779990333667424e-05,0.012663677402366,9.416831536421392e-07
191,2.0,2.0,1500.0,0.0,3.0,1.7633117749452172e-05,0.0098483998612567,2.1621487037432979e-07
192,3.0,2.0,50.0,0.1,0.0,0.0151443488633191,0.1565180098916241,0.0001603629403238
193,3.0,2.0,50.0,0.1,1.0,0.0151423540058777,0.1564998846746101,0.0001603648123328
194,3.0,2.0,50.0,0.1,2.0,0.0127351990962622,0.1366836435964795,0.000160164544527
195,3.0,2.0,50.0,0.1,3.0,0.0121296180598623,0.133549546596834,0.0001616631724417
196,3.0,2.0,50.0,0.01,0.0,0.0861229967735241,0.1191655276510343,6.1005989216918885e-05
197,3.0,2.0,50.0,0.01,1.0,0.0877847000894865,0.1205565631714463,6.227695828214867e-05
198,3.0,2.0,50.0,0.01,2.0,0.0876317863442006,0.1251518168078543,6.513577211448077e-05
199,3.0,2.0,50.0,0.01,3.0,0.0864561375842658,0.1225619737427951,6.214897369522704e-05
200,3.0,2.0,50.0,0.001,0.0,1.0379718162232796e-05,0.0021911081242861,2.6495968124456524e-08
201,3.0,2.0,50.0,0.001,1.0,1.0393863011211133e-05,0.0021921245921844,2.6496929956995214e-08
202,3.0,2.0,50.0,0.001,2.0,2.752420460339015e-05,0.0080856141487932,9.464134901960748e-07
203,3.0,2.0,50.0,0.001,3.0,1.9600466372894817e-05,0.0082983325398168,2.47986725664049e-07
204,3.0,2.0,50.0,0.0,0.0,4.878437887974664e-06,0.0017279428384018,5.147951038895117e-09
205,3.0,2.0,50.0,0.0,1.0,4.878767492560733e-06,0.0017280468197561,5.148666310197051e-09
206,3.0,2.0,50.0,0.0,2.0,0.0001547257215724,0.012762909099824,7.184913409867366e-07
207,3.0,2.0,50.0,0.0,3.0,6.31783429668879e-05,0.0075990426843402,1.9045094652995e-07
208,3.0,2.0,500.0,0.1,0.0,0.0009813865310876,0.0291929586505797,0.0001633565088544
209,3.0,2.0,500.0,0.1,1.0,0.0010318256578753,0.0303234541620816,0.0001647454544536
210,3.0,2.0,500.0,0.1,2.0,0.0011718232556308,0.0353418558139585,0.0001729546921343
211,3.0,2.0,500.0,0.1,3.0,0.0011951415553189,0.0366256592055703,0.0001607388676659
212,3.0,2.0,500.0,0.01,0.0,1.2473738807393004e-05,0.0049049002216958,1.5976120531046492e-06
213,3.0,2.0,500.0,0.01,1.0,8.912284513752366e-06,0.004182070033865,1.6450049603068668e-06
214,3.0,2.0,500.0,0.01,2.0,2.803508919391056e-05,0.010473701564385,2.3753190298735013e-06
215,3.0,2.0,500.0,0.01,3.0,2.218616469632652e-05,0.0103805888972953,1.7944328776103546e-06
216,3.0,2.0,500.0,0.001,0.0,4.056278331559694e-07,0.0011164422694255,1.7030351367227598e-08
